,Squad,Per 90 Minutes|Gls,Per 90 Minutes|Ast,Per 90 Minutes|G+A,Performance|GA90,Performance|SoTA,Standard|SoT%,Standard|Sh/90,Standard|SoT/90,Standard|G/Sh,Tackles|TklW,Pressures|%
0,ar Argentina,1.5,1.5,3.0,2.25,12,28.1,14.25,4.0,0.11,38,33.0
1,au Australia,0.67,0.0,0.67,1.67,11,21.9,10.67,2.33,0.0,28,24.8
2,be Belgium,2.14,1.71,3.86,0.86,31,32.7,15.29,5.0,0.13,62,18.9
3,br Brazil,1.6,1.4,3.0,0.6,7,37.9,20.6,7.8,0.08,61,26.4
4,co Colombia,1.38,1.15,2.54,0.69,11,29.3,9.46,2.77,0.07,43,24.0
5,cr Costa Rica,0.33,0.33,0.67,1.67,14,33.3,9.0,3.0,0.04,20,17.4
6,hr Croatia,1.62,1.0,2.62,1.13,25,24.1,14.0,3.38,0.04,57,27.8
7,dk Denmark,0.69,0.69,1.38,0.46,19,30.0,9.23,2.77,0.03,35,23.6
8,eg Egypt,0.67,0.33,1.0,2.0,13,16.7,10.0,1.67,0.03,35,22.0
9,eng England,1.57,0.78,2.35,1.04,23,23.7,12.13,2.87,0.05,46,22.9
10,fr France,1.71,0.86,2.57,0.86,17,32.9,11.29,3.71,0.11,64,26.3
11,de Germany,0.67,0.67,1.33,1.33,15,27.4,24.33,6.67,0.03,35,31.7
12,is Iceland,0.67,0.0,0.67,1.67,12,29.4,11.33,3.33,0.03,34,21.5
13,ir Iran,0.33,0.0,0.33,0.67,9,13.6,7.33,1.0,0.0,25,21.0
14,jp Japan,1.5,1.25,2.75,1.75,19,34.9,10.75,3.75,0.12,23,25.4
15,kr Korea Republic,1.0,0.67,1.67,1.0,13,32.4,11.33,3.67,0.09,24,20.2
16,mx Mexico,0.75,0.5,1.25,1.5,29,19.7,15.25,3.0,0.03,39,24.6
17,ma Morocco,0.67,0.33,1.0,1.33,7,25.6,13.0,3.33,0.05,28,24.8
18,ng Nigeria,1.0,0.67,1.67,1.33,7,21.1,12.67,2.67,0.05,24,25.8
19,pa Panama,0.33,0.33,0.67,3.67,17,33.3,8.0,2.67,0.04,24,19.6
20,pe Peru,0.67,0.33,1.0,0.67,9,34.4,10.67,3.67,0.06,34,24.5
21,pl Poland,0.67,0.67,1.33,1.67,7,21.9,10.67,2.33,0.06,23,31.7
22,pt Portugal,1.5,1.0,2.5,1.5,13,19.6,14.0,2.75,0.09,30,27.1
23,ru Russia,1.76,1.41,3.18,1.24,20,36.7,8.65,3.18,0.04,44,23.2
24,sa Saudi Arabia,0.67,0.33,1.0,2.33,11,21.2,11.0,2.33,0.03,31,30.9
25,sn Senegal,1.0,0.33,1.33,1.33,8,37.9,9.67,3.67,0.1,21,28.8
26,rs Serbia,0.67,0.33,1.0,1.33,15,17.1,11.67,2.0,0.06,36,21.5
27,es Spain,1.38,0.69,2.08,1.38,5,27.8,16.62,4.62,0.04,27,29.2
28,se Sweden,1.0,0.6,1.6,0.8,13,33.9,11.2,3.8,0.05,36,21.1
29,ch Switzerland,1.25,1.0,2.25,1.25,16,23.6,13.75,3.25,0.09,37,27.6
30,tn Tunisia,1.67,1.33,3.0,2.67,21,29.7,12.33,3.67,0.11,35,24.7
31,uy Uruguay,1.2,0.8,2.0,0.6,12,31.7,12.6,4.0,0.1,53,24.3
