Squad,Goals/90min,Assists/90min,G+A/90min,Goals Against/90min,Shoots on Target Against,% Shoots on Target,Shoots/90min,Shoots on Target/90min,Goals/Shoots,Distance,Total Passes Attempted,Short Passes Attempted,Medium Passes Attempted,Long Passes Attempted,Tackles Win,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Touches,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Minutes played
ar Argentina,1.96,1.04,3.0,1.04,13,43.2,12.39,5.35,0.12,18.2,4625,2339,1632,433,69,70,41,12,5408,1423,2727,1302,690
au Australia,0.75,0.75,1.5,1.5,18,30.8,6.5,2.0,0.12,18.5,1696,643,612,306,30,34,21,3,2162,881,913,382,360
be Belgium,0.33,0.33,0.67,0.67,11,25.7,11.67,3.0,0.03,15.6,1885,637,955,237,27,29,17,2,2199,838,1004,377,270
br Brazil,1.5,1.13,2.62,0.56,10,42.1,17.81,7.5,0.07,17.5,3203,1430,1336,297,51,38,29,21,3803,944,1848,1036,480
cm Cameroon,1.33,1.33,2.67,1.38,15,57.1,9.33,5.33,0.14,16.4,1252,516,444,234,20,27,13,2,1579,604,673,325,270
ca Canada,0.33,0.33,0.67,2.33,15,11.8,11.33,1.33,0.03,17.0,1586,704,578,210,23,21,13,7,1897,516,945,450,270
cr Costa Rica,1.0,0.33,1.33,3.67,22,58.3,4.0,2.33,0.25,17.0,1101,425,411,199,35,43,20,4,1446,693,597,172,270
hr Croatia,1.04,1.04,2.09,0.91,31,32.9,10.3,3.39,0.1,18.5,4523,2082,1642,526,83,59,56,17,5308,1542,2708,1118,690
dk Denmark,0.33,0.33,0.67,1.0,11,29.4,11.33,3.33,0.03,17.1,1944,803,753,292,27,18,20,4,2270,585,1166,534,270
ec Ecuador,1.33,0.67,2.0,1.0,4,34.5,9.67,3.33,0.1,18.2,1473,615,544,235,30,21,23,2,1766,575,883,322,270
eng England,2.6,2.2,4.8,0.8,11,44.3,12.2,5.4,0.2,16.0,3211,1299,1391,407,44,26,25,14,3642,1006,1894,775,450
fr France,2.18,1.64,3.82,1.09,27,33.0,13.64,4.5,0.14,15.8,3969,1642,1582,578,88,77,54,14,4754,1276,2395,1136,660
de Germany,2.0,1.67,3.67,1.67,13,33.8,22.67,7.67,0.07,16.6,1990,881,725,230,27,24,20,6,2319,586,1036,715,270
gh Ghana,1.67,0.67,2.33,2.33,17,36.0,8.33,3.0,0.2,19.0,1256,533,443,210,34,31,16,7,1623,631,668,343,270
ir IR Iran,1.33,0.67,2.0,2.33,15,25.0,10.67,2.67,0.09,20.6,1106,382,425,225,29,29,18,6,1438,553,595,311,270
jp Japan,1.15,0.92,2.08,0.92,19,31.8,10.15,3.23,0.11,16.8,1750,735,652,283,38,29,34,7,2240,777,1027,454,390
kr Korea Republic,1.25,0.75,2.0,2.0,19,36.0,12.5,4.5,0.1,18.3,2022,792,777,360,33,28,23,8,2420,720,1029,682,360
mx Mexico,0.67,0.33,1.0,1.0,6,36.6,13.67,5.0,0.05,21.9,1450,570,588,222,27,21,26,3,1777,499,890,400,270
ma Morocco,0.82,0.55,1.36,0.68,14,27.9,8.32,2.32,0.1,19.1,2889,1272,985,454,79,76,45,8,3719,1557,1567,625,660
nl Netherlands,1.87,1.5,3.38,0.75,22,38.1,7.88,3.0,0.24,16.1,2993,1351,1130,383,47,39,40,12,3535,1068,1797,690,480
pl Poland,0.75,0.25,1.0,1.25,28,17.2,7.25,1.25,0.07,15.5,1531,564,580,289,30,33,22,9,1972,716,904,370,360
pt Portugal,2.4,2.0,4.4,1.2,17,37.5,12.8,4.8,0.16,19.2,3142,1383,1146,468,44,31,25,10,3583,961,1746,896,450
qa Qatar,0.33,0.33,0.67,2.33,12,30.0,6.67,2.0,0.05,21.5,1407,580,494,228,22,21,13,4,1669,583,840,256,270
sa Saudi Arabia,1.0,0.67,1.67,1.67,19,28.6,9.33,2.67,0.11,18.7,1205,486,411,205,23,27,16,4,1570,493,676,422,270
sn Senegal,1.25,0.5,1.75,1.75,14,23.5,12.75,3.0,0.08,18.5,1687,681,581,305,32,24,17,2,2105,704,891,534,360
rs Serbia,1.67,1.33,3.0,2.67,24,28.1,10.67,3.0,0.16,16.5,1514,573,628,225,22,22,23,8,1835,584,870,398,270
es Spain,2.08,1.15,3.23,0.69,9,33.3,11.08,3.69,0.17,18.3,3957,1519,1921,357,32,19,25,9,4322,790,2602,948,390
ch Switzerland,1.25,1.0,2.25,2.25,23,32.4,9.25,3.0,0.14,15.8,2063,804,881,269,25,24,18,6,2430,854,1112,487,360
tn Tunisia,0.33,0.33,0.67,0.33,10,25.0,10.67,2.67,0.03,18.0,1352,425,611,255,36,32,27,5,1740,657,752,347,270
us United States,0.75,0.75,1.5,1.0,12,28.9,11.25,3.25,0.07,17.1,2234,895,927,281,34,31,16,5,2676,735,1263,703,360
uy Uruguay,0.67,0.33,1.0,0.67,7,30.3,11.0,3.33,0.06,19.2,1498,623,563,222,31,28,19,4,1848,573,894,396,270
wls Wales,0.33,0.0,0.33,2.01,14,26.1,7.67,2.0,0.0,20.4,1366,451,578,261,27,16,19,5,1701,625,759,321,270
